Reported Date,Confirmed Negative,Presumptive Negative,Presumptive Positive,Confirmed Positive,Resolved,Deaths,Total Cases,Total patients approved for testing as of Reporting Date,Total tests completed in the last day,Percent positive tests in last day,Under Investigation,Number of patients hospitalized with COVID-19,Number of patients in ICU due to COVID-19,"Number of patients in ICU, testing positive for COVID-19","Number of patients in ICU, testing negative for COVID-19",Number of patients in ICU on a ventilator due to COVID-19,Num. of patients in ICU on a ventilator testing positive,Num. of patients in ICU on a ventilator testing negative,Total Positive LTC Resident Cases,Total Positive LTC HCW Cases,Total LTC Resident Deaths,Total LTC HCW Deaths,Total_Lineage_B.1.1.7,Total_Lineage_B.1.351,Total_Lineage_P.1
2020-01-26,,,1.0,,,,,,,,9,,,,,,,,,,,,,,
2020-01-27,,,2.0,,,,,,,,19,,,,,,,,,,,,,,
2020-01-28,,,1.0,1.0,,,1.0,,,,11,,,,,,,,,,,,,,
2020-01-30,,,0.0,2.0,,,2.0,,,,27,,,,,,,,,,,,,,
2020-01-31,,,0.0,2.0,,,2.0,,,,17,,,,,,,,,,,,,,
2020-02-03,,,0.0,3.0,,,3.0,,,,29,,,,,,,,,,,,,,
2020-02-04,90.0,12.0,0.0,3.0,,,3.0,139.0,,,34,,,,,,,,,,,,,,
2020-02-05,96.0,8.0,0.0,3.0,,,3.0,150.0,,,43,,,,,,,,,,,,,,
2020-02-06,104.0,0.0,0.0,3.0,,,3.0,169.0,,,62,,,,,,,,,,,,,,
2020-02-08,130.0,25.0,0.0,3.0,,,3.0,197.0,,,39,,,,,,,,,,,,,,
2020-02-10,167.0,81.0,0.0,3.0,,,3.0,259.0,,,8,,,,,,,,,,,,,,
2020-02-11,184.0,79.0,0.0,3.0,,,3.0,285.0,,,19,,,,,,,,,,,,,,
2020-02-12,257.0,44.0,0.0,2.0,1.0,,3.0,313.0,,,9,,,,,,,,,,,,,,
2020-02-13,306.0,16.0,0.0,2.0,1.0,,3.0,340.0,,,15,,,,,,,,,,,,,,
2020-02-14,353.0,0.0,0.0,2.0,1.0,,3.0,364.0,,,8,,,,,,,,,,,,,,
2020-02-17,399.0,0.0,0.0,2.0,1.0,,3.0,402.0,,,0,,,,,,,,,,,,,,
2020-02-18,418.0,0.0,0.0,2.0,1.0,,3.0,421.0,,,0,,,,,,,,,,,,,,
2020-02-19,436.0,0.0,0.0,2.0,1.0,,3.0,456.0,,,17,,,,,,,,,,,,,,
2020-02-20,462.0,,0.0,1.0,2.0,,3.0,479.0,,,14,,,,,,,,,,,,,,
2020-02-21,483.0,,0.0,0.0,3.0,,3.0,498.0,,,12,,,,,,,,,,,,,,
2020-02-24,540.0,,0.0,1.0,3.0,,4.0,553.0,,,9,,,,,,,,,,,,,,
2020-02-25,568.0,,0.0,1.0,3.0,,4.0,593.0,,,21,,,,,,,,,,,,,,
2020-02-26,610.0,,1.0,1.0,3.0,,4.0,629.0,,,14,,,,,,,,,,,,,,
2020-02-27,672.0,,1.0,2.0,3.0,,5.0,699.0,,,21,,,,,,,,,,,,,,
2020-02-28,739.0,,1.0,3.0,3.0,,6.0,768.0,,,22,,,,,,,,,,,,,,
2020-03-02,975.0,,,15.0,3.0,,18.0,1005.0,,,12,,,,,,,,,,,,,,
2020-03-03,1061.0,,,17.0,3.0,,20.0,1126.0,,,45,,,,,,,,,,,,,,
2020-03-04,1216.0,,,17.0,3.0,,20.0,1338.0,,,102,,,,,,,,,,,,,,
2020-03-05,1466.0,,,18.0,4.0,,22.0,1566.0,,,78,,,,,,,,,,,,,,
2020-03-06,1665.0,,,22.0,4.0,,26.0,1763.0,,,72,,,,,,,,,,,,,,
2020-03-07,1918.0,,,24.0,4.0,,28.0,1982.0,,,36,,,,,,,,,,,,,,
2020-03-08,2094.0,,,25.0,4.0,,29.0,2178.0,,,55,,,,,,,,,,,,,,
2020-03-09,2347.0,,,31.0,4.0,,35.0,2404.0,,,22,,,,,,,,,,,,,,
2020-03-10,2599.0,,,31.0,5.0,,36.0,2747.0,,,112,,,,,,,,,,,,,,
2020-03-11,2888.0,,,37.0,5.0,,42.0,3395.0,,,465,,,,,,,,,,,,,,
2020-03-12,3590.0,,,54.0,5.0,,59.0,4185.0,,,536,,,,,,,,,,,,,,
2020-03-13,4470.0,,,74.0,5.0,,79.0,5129.0,,,580,,,,,,,,,,,,,,
2020-03-14,5606.0,,,98.0,5.0,,103.0,6648.0,,,939,,,,,,,,,,,,,,
2020-03-15,7004.0,,,140.0,5.0,,145.0,8465.0,,,1316,,,,,,,,,,,,,,
